id,year,Q
0,2006,-0.205
0,2007,0.158
0,2008,0.34
0,2009,-1.489
0,2010,1.816
0,2011,0.721
0,2012,0.629
0,2013,1.144
0,2014,-0.642
0,2015,-0.72
1,2006,-0.089
1,2007,-0.093
1,2008,0.157
1,2009,-1.685
1,2010,1.722
1,2011,0.685
1,2012,0.524
1,2013,0.962
1,2014,-0.674
1,2015,-0.495
2,2006,0.164
2,2007,0.201
2,2008,0.173
2,2009,-0.638
2,2010,0.229
2,2011,0.363
2,2012,0.265
2,2013,1.262
2,2014,-0.645
2,2015,-0.763
3,2006,-0.072
3,2007,-0.163
3,2008,-0.467
3,2009,0.004
3,2010,1.445
3,2011,0.538
3,2012,-0.054
3,2013,1.588
3,2014,-1.513
3,2015,-1.443
4,2006,1.218
4,2007,0.715
4,2008,0.516
4,2009,1.165
4,2010,2.015
4,2011,0.687
4,2012,0.762
4,2013,1.383
4,2014,0.219
4,2015,-0.602
5,2006,0.698
5,2007,0.896
5,2008,0.954
5,2009,0.683
5,2010,2.111
5,2011,0.594
5,2012,0.489
5,2013,0.605
5,2014,-0.058
5,2015,-1.622
6,2006,0.698
6,2007,0.898
6,2008,0.955
6,2009,0.683
6,2010,2.112
6,2011,0.593
6,2012,0.489
6,2013,0.605
6,2014,-0.059
6,2015,-1.624
7,2006,0.334
7,2007,0.669
7,2008,0.776
7,2009,0.376
7,2010,2.054
7,2011,0.199
7,2012,0.193
7,2013,0.69
7,2014,-0.099
7,2015,-1.439
8,2006,0.13
8,2007,0.474
8,2008,0.697
8,2009,0.745
8,2010,2.047
8,2011,0.185
8,2012,0.477
8,2013,0.849
8,2014,-0.265
8,2015,-1.314
9,2006,-0.577
9,2007,-0.004
9,2008,-0.057
9,2009,-0.755
9,2010,2.051
9,2011,0.149
9,2012,-0.007
9,2013,1.043
9,2014,-0.714
9,2015,0.114
10,2006,-0.454
10,2007,-0.182
10,2008,0.045
10,2009,-0.868
10,2010,2.118
10,2011,0.024
10,2012,-0.451
10,2013,1.091
10,2014,-0.748
10,2015,0.043
11,2006,-0.455
11,2007,-0.182
11,2008,0.044
11,2009,-0.868
11,2010,2.118
11,2011,0.024
11,2012,-0.451
11,2013,1.091
11,2014,-0.749
11,2015,0.043
12,2006,-0.535
12,2007,-0.258
12,2008,-0.24
12,2009,-0.775
12,2010,2.047
12,2011,0.008
12,2012,-0.783
12,2013,1.024
12,2014,-0.901
12,2015,-0.22
13,2006,-0.294
13,2007,-0.173
13,2008,-0.075
13,2009,-0.354
13,2010,1.842
13,2011,0.339
13,2012,-0.249
13,2013,1.199
13,2014,-0.751
13,2015,-0.836
14,2006,-0.418
14,2007,-0.205
14,2008,0.157
14,2009,-0.372
14,2010,2.003
14,2011,0.519
14,2012,0.155
14,2013,1.007
14,2014,-0.526
14,2015,-0.972
15,2006,0.056
15,2007,0.14
15,2008,0.446
15,2009,-0.89
15,2010,1.358
15,2011,0.276
15,2012,0.032
15,2013,1.685
15,2014,0.048
15,2015,0.377
16,2006,0.636
16,2007,0.625
16,2008,0.825
16,2009,0.623
16,2010,2.056
16,2011,0.067
16,2012,0.246
16,2013,0.671
16,2014,-0.381
16,2015,-1.024
17,2006,0.46
17,2007,1.061
17,2008,0.817
17,2009,0.722
17,2010,2.164
17,2011,0.274
17,2012,0.636
17,2013,0.765
17,2014,-0.429
17,2015,-1.605
18,2006,0.494
18,2007,1.118
18,2008,0.811
18,2009,0.751
18,2010,2.141
18,2011,0.252
18,2012,0.508
18,2013,0.806
18,2014,-0.533
18,2015,-1.822
19,2006,0.531
19,2007,1.178
19,2008,0.901
19,2009,0.554
19,2010,2.138
19,2011,0.195
19,2012,0.428
19,2013,0.777
19,2014,-0.078
19,2015,-1.666
20,2006,0.031
20,2007,1.031
20,2008,0.849
20,2009,0.328
20,2010,2.087
20,2011,0.439
20,2012,0.641
20,2013,0.62
20,2014,-0.35
20,2015,-1.839
21,2006,0.037
21,2007,0.828
21,2008,1.385
21,2009,0.814
21,2010,2.069
21,2011,0.387
21,2012,0.627
21,2013,1.054
21,2014,-0.408
21,2015,-1.692
22,2006,-0.487
22,2007,0.242
22,2008,0.505
22,2009,-0.554
22,2010,2.119
22,2011,0.225
22,2012,-0.036
22,2013,0.882
22,2014,-0.129
22,2015,0.154
23,2006,-0.823
23,2007,0.208
23,2008,0.805
23,2009,-0.684
23,2010,2.496
23,2011,0.372
23,2012,-0.452
23,2013,0.948
23,2014,-0.433
23,2015,0.079
24,2006,-0.633
24,2007,-0.123
24,2008,0.312
24,2009,-0.912
24,2010,2.313
24,2011,0.111
24,2012,-0.468
24,2013,1.069
24,2014,-0.626
24,2015,0.037
25,2006,-0.944
25,2007,-0.058
25,2008,0.892
25,2009,-0.753
25,2010,2.58
25,2011,0.382
25,2012,-0.812
25,2013,0.865
25,2014,-0.325
25,2015,0.229
26,2006,-0.361
26,2007,-0.315
26,2008,-0.669
26,2009,-0.015
26,2010,1.376
26,2011,0.744
26,2012,0.074
26,2013,1.109
26,2014,0.465
26,2015,0
27,2006,0.407
27,2007,0.586
27,2008,0.706
27,2009,0.495
27,2010,1.831
27,2011,-0.106
27,2012,0.162
27,2013,0.4
27,2014,-0.488
27,2015,-1.035
28,2006,0.454
28,2007,0.9
28,2008,0.953
28,2009,0.483
28,2010,1.952
28,2011,0.066
28,2012,0.698
28,2013,0.421
28,2014,-0.6
28,2015,-1.761
29,2006,0.377
29,2007,0.682
29,2008,1.395
29,2009,0.1
29,2010,1.618
29,2011,0.275
29,2012,0.625
29,2013,0.259
29,2014,-0.215
29,2015,-2.028
30,2006,0.346
30,2007,0.744
30,2008,1.375
30,2009,0.11
30,2010,1.583
30,2011,0.236
30,2012,0.591
30,2013,0.289
30,2014,-0.194
30,2015,-2.051
31,2006,0.038
31,2007,1.052
31,2008,0.922
31,2009,0.314
31,2010,2.091
31,2011,0.399
31,2012,0.704
31,2013,0.551
31,2014,-0.395
31,2015,-1.845
32,2006,-0.887
32,2007,0.177
32,2008,-0.485
32,2009,0.158
32,2010,1.764
32,2011,-0.799
32,2012,-0.016
32,2013,0.636
32,2014,0.455
32,2015,-0.568
33,2006,-0.753
33,2007,0.278
33,2008,-0.321
33,2009,-0.258
33,2010,1.791
33,2011,-0.503
33,2012,-0.255
33,2013,0.635
33,2014,0.587
33,2015,-0.289
34,2006,-0.598
34,2007,0.282
34,2008,-0.298
34,2009,-0.311
34,2010,2.157
34,2011,-0.169
34,2012,-0.221
34,2013,0.547
34,2014,0.502
34,2015,-0.143
35,2006,-0.662
35,2007,0.223
35,2008,-0.401
35,2009,-0.347
35,2010,2.237
35,2011,-0.144
35,2012,-0.302
35,2013,0.661
35,2014,0.403
35,2015,-0.233
36,2006,-0.759
36,2007,-0.145
36,2008,-0.475
36,2009,-0.299
36,2010,2.153
36,2011,-0.385
36,2012,-0.187
36,2013,0.341
36,2014,0.185
36,2015,-1.053
37,2006,-0.549
37,2007,-0.331
37,2008,-0.187
37,2009,-0.462
37,2010,2.024
37,2011,-0.489
37,2012,-0.247
37,2013,0.245
37,2014,0.082
37,2015,-1.153
38,2006,-0.313
38,2007,-0.45
38,2008,0.322
38,2009,-0.526
38,2010,2.149
38,2011,-0.279
38,2012,-0.149
38,2013,0.69
38,2014,-0.197
38,2015,-0.586
39,2006,-0.358
39,2007,-0.106
39,2008,0.499
39,2009,-0.607
39,2010,2.622
39,2011,-0.108
39,2012,-0.6
39,2013,0.792
39,2014,-0.285
39,2015,-0.535
40,2006,-0.633
40,2007,0.174
40,2008,0.682
40,2009,-0.514
40,2010,2.311
40,2011,0.291
40,2012,-0.297
40,2013,0.859
40,2014,-0.188
40,2015,0.058
41,2006,-0.665
41,2007,0.133
41,2008,0.712
41,2009,-0.524
41,2010,2.317
41,2011,0.321
41,2012,-0.367
41,2013,0.84
41,2014,-0.072
41,2015,0.118
42,2006,-0.703
42,2007,-0.14
42,2008,0.409
42,2009,-0.834
42,2010,2.417
42,2011,0.182
42,2012,-0.628
42,2013,1.095
42,2014,-0.549
42,2015,0.025
43,2006,-0.643
43,2007,-0.499
43,2008,-0.563
43,2009,-0.294
43,2010,1.605
43,2011,0.814
43,2012,0.11
43,2013,1.216
43,2014,0.525
43,2015,0.031
44,2006,0.417
44,2007,0.665
44,2008,0.947
44,2009,0.404
44,2010,0.953
44,2011,0.187
44,2012,0.5
44,2013,0.565
44,2014,-0.277
44,2015,-1.104
45,2006,0.416
45,2007,0.745
45,2008,1.095
45,2009,0.332
45,2010,1.726
45,2011,0.412
45,2012,0.845
45,2013,0.373
45,2014,-0.083
45,2015,-1.776
46,2006,0.406
46,2007,0.609
46,2008,1.191
46,2009,0.313
46,2010,1.718
46,2011,0.492
46,2012,0.91
46,2013,0.315
46,2014,0.147
46,2015,-1.606
47,2006,0.198
47,2007,0.644
47,2008,1.275
47,2009,0.012
47,2010,1.635
47,2011,0.236
47,2012,0.633
47,2013,0.153
47,2014,-0.157
47,2015,-2.186
48,2006,0.535
48,2007,0.928
48,2008,1.164
48,2009,0.089
48,2010,1.525
48,2011,0.285
48,2012,0.366
48,2013,0.426
48,2014,-0.142
48,2015,-2.101
49,2006,0.057
49,2007,0.98
49,2008,1.062
49,2009,0.19
49,2010,2.082
49,2011,0.401
49,2012,0.89
49,2013,0.437
49,2014,-0.431
49,2015,-2.018
50,2006,-0.052
50,2007,1.088
50,2008,1.248
50,2009,0.222
50,2010,1.894
50,2011,0.598
50,2012,0.88
50,2013,0.646
50,2014,-0.292
50,2015,-2.388
51,2006,-0.204
51,2007,0.967
51,2008,1.443
51,2009,0.116
51,2010,1.71
51,2011,0.761
51,2012,0.895
51,2013,0.653
51,2014,-0.017
51,2015,-2.62
52,2006,-1.236
52,2007,-0.136
52,2008,-0.275
52,2009,-0.572
52,2010,1.913
52,2011,-1.504
52,2012,-0.28
52,2013,0.532
52,2014,-0.033
52,2015,-1.359
53,2006,-1.206
53,2007,0.108
53,2008,-0.043
53,2009,0.084
53,2010,1.56
53,2011,-1.491
53,2012,-0.551
53,2013,0.945
53,2014,0.444
53,2015,-1.049
54,2006,-0.901
54,2007,0.269
54,2008,-0.273
54,2009,0.051
54,2010,2.119
54,2011,-0.831
54,2012,-0.13
54,2013,0.908
54,2014,0.526
54,2015,-0.697
55,2006,-0.754
55,2007,0.257
55,2008,-0.343
55,2009,-0.145
55,2010,1.837
55,2011,-0.65
55,2012,-0.191
55,2013,0.595
55,2014,0.566
55,2015,-0.379
56,2006,-0.611
56,2007,0.178
56,2008,-0.058
56,2009,-0.63
56,2010,2.273
56,2011,-0.386
56,2012,-0.502
56,2013,0.596
56,2014,0.52
56,2015,-0.6
57,2006,-0.587
57,2007,0.109
57,2008,-0.341
57,2009,-0.541
57,2010,2.154
57,2011,-0.235
57,2012,-0.296
57,2013,0.404
57,2014,0.056
57,2015,-0.661
58,2006,-0.31
58,2007,0.062
58,2008,0.401
58,2009,-1.054
58,2010,2.706
58,2011,-0.019
58,2012,-0.488
58,2013,0.671
58,2014,-0.11
58,2015,-0.097
59,2006,-0.635
59,2007,0.103
59,2008,0.644
59,2009,-0.55
59,2010,2.355
59,2011,0.357
59,2012,-0.436
59,2013,0.839
59,2014,-0.021
59,2015,0.152
60,2006,0.234
60,2007,0.545
60,2008,1.183
60,2009,0.267
60,2010,0.917
60,2011,0.418
60,2012,0.791
60,2013,0.327
60,2014,-0.113
60,2015,-1.16
61,2006,0.154
61,2007,0.693
61,2008,1.572
61,2009,0.045
61,2010,1.287
61,2011,0.437
61,2012,0.963
61,2013,0.229
61,2014,-0.077
61,2015,-1.925
62,2006,0.086
62,2007,0.641
62,2008,1.409
62,2009,-0.034
62,2010,1.595
62,2011,0.214
62,2012,0.566
62,2013,0.114
62,2014,-0.097
62,2015,-2.207
63,2006,0.188
63,2007,0.434
63,2008,1.348
63,2009,0.119
63,2010,1.903
63,2011,0.327
63,2012,0.779
63,2013,0.097
63,2014,-0.179
63,2015,-1.879
64,2006,0.143
64,2007,0.632
64,2008,1.311
64,2009,0.057
64,2010,1.923
64,2011,0.177
64,2012,0.756
64,2013,0.147
64,2014,-0.198
64,2015,-1.817
65,2006,0.534
65,2007,0.94
65,2008,1.268
65,2009,-0.023
65,2010,1.092
65,2011,0.374
65,2012,0.297
65,2013,0.54
65,2014,-0.106
65,2015,-2.114
66,2006,0.018
66,2007,1.06
66,2008,1.274
66,2009,0.257
66,2010,1.712
66,2011,0.69
66,2012,0.621
66,2013,0.604
66,2014,-0.35
66,2015,-2.855
67,2006,0.287
67,2007,0.974
67,2008,1.137
67,2009,0.346
67,2010,1.06
67,2011,0.787
67,2012,0.597
67,2013,0.483
67,2014,-0.05
67,2015,-2.88
68,2006,0.239
68,2007,0.842
68,2008,1.246
68,2009,0.273
68,2010,1.154
68,2011,0.839
68,2012,0.645
68,2013,0.49
68,2014,0.04
68,2015,-2.88
69,2006,-1.316
69,2007,-0.171
69,2008,-0.379
69,2009,-0.511
69,2010,1.635
69,2011,-1.457
69,2012,-0.582
69,2013,0.752
69,2014,1.064
69,2015,-0.438
70,2006,-0.935
70,2007,0.317
70,2008,-0.284
70,2009,0.116
70,2010,2.237
70,2011,-1.012
70,2012,-0.25
70,2013,0.865
70,2014,0.719
70,2015,-0.721
71,2006,0.229
71,2007,0.554
71,2008,1.253
71,2009,0.116
71,2010,1.076
71,2011,0.136
71,2012,0.769
71,2013,0.766
71,2014,-0.148
71,2015,-1.857
72,2006,0.202
72,2007,0.572
72,2008,1.262
72,2009,0.125
72,2010,1.127
72,2011,0.156
72,2012,0.802
72,2013,0.743
72,2014,-0.167
72,2015,-1.891
73,2006,0.266
73,2007,0.606
73,2008,1.269
73,2009,0.281
73,2010,1.002
73,2011,0.498
73,2012,0.906
73,2013,0.325
73,2014,-0.137
73,2015,-1.29
74,2006,0.173
74,2007,0.686
74,2008,1.621
74,2009,0.084
74,2010,1.154
74,2011,0.454
74,2012,0.924
74,2013,0.288
74,2014,0.014
74,2015,-1.717
75,2006,0.119
75,2007,0.661
75,2008,1.611
75,2009,-0.014
75,2010,1.269
75,2011,0.36
75,2012,0.771
75,2013,0.129
75,2014,-0.238
75,2015,-2.15
76,2006,0.183
76,2007,0.633
76,2008,1.315
76,2009,0.083
76,2010,1.686
76,2011,0.303
76,2012,0.341
76,2013,0.27
76,2014,-0.119
76,2015,-2.063
77,2006,0.217
77,2007,0.617
77,2008,1.391
77,2009,0.077
77,2010,1.87
77,2011,0.251
77,2012,0.431
77,2013,0.229
77,2014,-0.231
77,2015,-1.879
78,2006,0.655
78,2007,0.854
78,2008,1.146
78,2009,0.147
78,2010,0.834
78,2011,0.275
78,2012,0.372
78,2013,0.684
78,2014,0.243
78,2015,-2.017
79,2006,0.438
79,2007,0.702
79,2008,1.288
79,2009,0.062
79,2010,1.055
79,2011,0.831
79,2012,0.606
79,2013,0.36
79,2014,-0.007
79,2015,-2.536
80,2006,0.428
80,2007,0.89
80,2008,1.092
80,2009,0.351
80,2010,0.996
80,2011,0.742
80,2012,0.725
80,2013,0.57
80,2014,0.015
80,2015,-2.624
81,2006,0.575
81,2007,0.723
81,2008,1.459
81,2009,-0.035
81,2010,0.938
81,2011,0.755
81,2012,0.577
81,2013,0.532
81,2014,0.374
81,2015,-2.354
82,2006,-1.105
82,2007,-0.993
